level1	 level2 	KOGid
Inorganic ion transport and metabolism	Divalent cation tolerance-related protein	[KOG3338]
General function prediction only	Predicted Rho GTPase-activating protein	[KOG4407]
Transcription	Transcription initiation factor TFIID, subunit TAF9 (also component of histone acetyltransferase SAGA)	[KOG3334]
Intracellular trafficking, secretion, and vesicular transport	Protein similar to predicted member of the intramitochondrial sorting protein family	[KOG3337]
Intracellular trafficking, secretion, and vesicular transport	Predicted member of the intramitochondrial sorting protein family	[KOG3336]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L4/L29	[KOG3331]
Intracellular trafficking, secretion, and vesicular transport	Transport protein particle (TRAPP) complex subunit	[KOG3330]
Posttranslational modification, protein turnover, chaperones	20S proteasome, regulatory subunit alpha type PSMA1/PRE5	[KOG0863]
Cell wall/membrane/envelope biogenesis	N-acetylglucosaminyl phosphatidylinositol de-N-acetylase	[KOG3332]
Cell wall/membrane/envelope biogenesis	Leishmanolysin-like peptidase (Peptidase M8 family)	[KOG2556]
Defense mechanisms	Leishmanolysin-like peptidase (Peptidase M8 family)	[KOG2556]
Function unknown	Uncharacterized conserved protein, contains TLDc domain	[KOG2557]
Translation, ribosomal structure and biogenesis	Pseudouridylate synthase	[KOG2554]
Nucleotide transport and metabolism	AICAR transformylase/IMP cyclohydrolase/methylglyoxal synthase	[KOG2555]
General function prediction only	Major facilitator superfamily permease - Cdc91p	[KOG2552]
Translation, ribosomal structure and biogenesis	Pseudouridylate synthase	[KOG2553]
Nucleotide transport and metabolism	IMP dehydrogenase/GMP reductase	[KOG2550]
Amino acid transport and metabolism	Phospholipase/carboxyhydrolase	[KOG2551]
General function prediction only	Predicted transporter (ABC superfamily)	[KOG0927]
Transcription	Negative regulator of histones	[KOG2558]
Translation, ribosomal structure and biogenesis	Predicted pseudouridine synthase	[KOG2559]
Function unknown	Uncharacterized conserved protein	[KOG3685]
Inorganic ion transport and metabolism	Ca2+-activated K+ channel proteins (intermediate/small conductance classes)	[KOG3684]
General function prediction only	Transcription factor MSH, contains HOX domain	[KOG0492]
Function unknown	Uncharacterized conserved protein	[KOG3930]
RNA processing and modification	mRNA splicing factor	[KOG3937]
Function unknown	Uncharacterized conserved protein	[KOG3680]
Function unknown	Uncharacterized conserved protein	[KOG2428]
Carbohydrate transport and metabolism	Glycosyl hydrolase, family 47	[KOG2429]
Carbohydrate transport and metabolism	Dihydroxyacetone kinase/glycerone kinase	[KOG2426]
Function unknown	Uncharacterized conserved protein	[KOG2427]
Signal transduction mechanisms	Selenophosphate synthetase	[KOG3939]
Signal transduction mechanisms	RGS-GAIP interacting protein GIPC, contains PDZ domain	[KOG3938]
Intracellular trafficking, secretion, and vesicular transport	RGS-GAIP interacting protein GIPC, contains PDZ domain	[KOG3938]
Signal transduction mechanisms	Cyclic nucleotide phosphodiesterase	[KOG3689]
General function prediction only	Nucleolar GTPase	[KOG2423]
Lipid transport and metabolism	Phosphatidylserine decarboxylase	[KOG2420]
General function prediction only	Predicted starch-binding protein	[KOG2421]
Defense mechanisms	Nuclear protein ZAP	[KOG2400]
Signal transduction mechanisms	Casein kinase (serine/threonine/tyrosine protein kinase)	[KOG1165]
Function unknown	Uncharacterized conserved protein	[KOG2500]
Function unknown	Uncharacterized conserved protein	[KOG3224]
Function unknown	Predicted membrane protein	[KOG2568]
Amino acid transport and metabolism	Glutamine amidotransferase/cyclase	[KOG0623]
Posttranslational modification, protein turnover, chaperones	Protein conjugation factor involved in autophagy	[KOG3439]
Signal transduction mechanisms	SMAD6 interacting protein AMSH, contains JAB/MPN/Mov34 domain	[KOG2880]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein GS28	[KOG3208]
Inorganic ion transport and metabolism	p-Nitrophenyl phosphatase	[KOG2882]
General function prediction only	Predicted glycosylhydrolase	[KOG2331]
Coenzyme transport and metabolism	Molybdopterin biosynthesis-related protein	[KOG2336]
Coenzyme transport and metabolism	Ubiquitin activating E1 enzyme-like protein	[KOG2337]
Function unknown	Uncharacterized conserved protein	[KOG2886]
Carbohydrate transport and metabolism	Beta-glucocerebrosidase	[KOG2566]
General function prediction only	Putative RNA binding protein	[KOG2888]
Lipid transport and metabolism	Very long-chain acyl-CoA synthetase/fatty acid transporter	[KOG1179]
Translation, ribosomal structure and biogenesis	Mitochondrial/chloroplast ribosomal protein L13	[KOG3203]
Function unknown	Uncharacterized conserved protein	[KOG2339]
Signal transduction mechanisms	Rho GDP-dissociation inhibitor	[KOG3205]
Translation, ribosomal structure and biogenesis	60S ribosomal protein L13a	[KOG3204]
Posttranslational modification, protein turnover, chaperones	Beta-tubulin folding cofactor E	[KOG3207]
Secondary metabolites biosynthesis, transport and catabolism	Non-ribosomal peptide synthetase/alpha-aminoadipate reductase and related enzymes	[KOG1178]
Posttranslational modification, protein turnover, chaperones	Proteasome maturation factor	[KOG3061]
Function unknown	Uncharacterized conserved protein	[KOG3060]
Intracellular trafficking, secretion, and vesicular transport	Membrane coat complex Retromer, subunit VPS26	[KOG3063]
General function prediction only	RNA polymerase II elongator associated protein	[KOG3062]
Intracellular trafficking, secretion, and vesicular transport	SNAP-25 (synaptosome-associated protein) component of SNARE complex	[KOG3065]
RNA processing and modification	RNA-binding nuclear protein (MAK16) containing a distinct C4 Zn-finger	[KOG3064]
General function prediction only	Translin family protein	[KOG3067]
General function prediction only	Translin-associated protein X	[KOG3066]
Replication, recombination and repair	Peroxisomal NUDIX hydrolase	[KOG3069]
RNA processing and modification	mRNA splicing factor	[KOG3068]
Energy production and conversion	Fumarate reductase, flavoprotein subunit	[KOG2404]
Translation, ribosomal structure and biogenesis	Predicted peptidyl-tRNA hydrolase	[KOG3429]
Posttranslational modification, protein turnover, chaperones	Alpha crystallins	[KOG3591]
Signal transduction mechanisms	Protein kinase A anchoring protein	[KOG3590]
Signal transduction mechanisms	Predicted receptor-like serine/threonine kinase	[KOG3593]
Cytoskeleton	Microtubule-associated proteins	[KOG3592]
Cytoskeleton	Dyneins, heavy chain	[KOG3595]
Function unknown	FOG: Cadherin repeats	[KOG3594]
Posttranslational modification, protein turnover, chaperones	GDP-fucose protein O-fucosyltransferase	[KOG3849]
Extracellular structures	Extracellular protein TEM7, contains PSI domain (tumor endothelial marker in humans)	[KOG3848]
Lipid transport and metabolism	Phospholipase A2 (platelet-activating factor acetylhydrolase in humans)	[KOG3847]
Transcription	Thyroid hormone receptor-associated protein complex, subunit TRAP230	[KOG3598]
Lipid transport and metabolism	MLN, STAR and related lipid-binding proteins	[KOG3845]
Chromatin structure and dynamics	Predicted component of NuA3 histone acetyltransferase complex	[KOG3844]
Translation, ribosomal structure and biogenesis	Predicted serine hydroxymethyltransferase SLA/LP (autoimmune hepatitis marker in humans)	[KOG3843]
Signal transduction mechanisms	Adaptor protein Pellino	[KOG3842]
Transcription	TEF-1 and related transcription factor, TEAD family	[KOG3841]
Signal transduction mechanisms	Cyclin-dependent kinase 2-associated protein	[KOG4713]
Cell cycle control, cell division, chromosome partitioning	Cyclin-dependent kinase 2-associated protein	[KOG4713]
General function prediction only	Small EDRK-rich protein H4F5	[KOG4488]
Function unknown	Uncharacterized conserved protein BC10 (implicated in bladder cancer in humans)	[KOG4489]
Function unknown	Sarcoglycan complex, alpha/epsilon subunits	[KOG4482]
Function unknown	Uncharacterized conserved protein	[KOG4483]
Inorganic ion transport and metabolism	Heme oxygenase	[KOG4480]
General function prediction only	Predicted membrane protein	[KOG4711]
Replication, recombination and repair	3-methyladenine DNA glycosylase	[KOG4486]
Function unknown	Uncharacterized conserved protein	[KOG4487]
Function unknown	Uncharacterized conserved protein	[KOG4484]
General function prediction only	Uncharacterized conserved protein, contains ankyrin and FN3 repeats	[KOG4485]
General function prediction only	Methyltransferase-like protein	[KOG3115]
Function unknown	Uncharacterized conserved protein	[KOG3442]
RNA processing and modification	Protein involved in rRNA processing	[KOG3117]
General function prediction only	Predicted C3H1-type Zn-finger protein	[KOG3116]
Carbohydrate transport and metabolism	D-ribulose-5-phosphate 3-epimerase	[KOG3111]
Secondary metabolites biosynthesis, transport and catabolism	PQQ (pyrrolo-quinoline quinone) repeat protein	[KOG4649]
Function unknown	Uncharacterized conserved protein	[KOG3113]
Function unknown	Uncharacterized conserved protein	[KOG3112]
General function prediction only	Predicted acyltransferase	[KOG4312]
Signal transduction mechanisms	MAPKKK (MAP kinase kinase kinase) SSK2 and related serine/threonine protein kinases	[KOG4645]
Carbohydrate transport and metabolism	Beta-galactosidase	[KOG0496]
Function unknown	Uncharacterized membrane protein	[KOG4647]
Function unknown	Uncharacterized conserved protein	[KOG4316]
Chromatin structure and dynamics	Disrupter of silencing SAS10	[KOG3118]
General function prediction only	Predicted carbohydrate/phosphate translocator	[KOG4314]
Function unknown	Uncharacterized coiled-coil protein	[KOG4643]
Signal transduction mechanisms	Signaling protein RIC-8/synembryn (regulates neurotransmitter secretion)	[KOG4464]
Nucleotide transport and metabolism	Adenylosuccinate synthase	[KOG1355]
Cell cycle control, cell division, chromosome partitioning	Component of histone deacetylase complex (breast carcinoma metastasis suppressor 1 protein in human)	[KOG4466]
Transcription	Component of histone deacetylase complex (breast carcinoma metastasis suppressor 1 protein in human)	[KOG4466]
Function unknown	Uncharacterized conserved protein	[KOG4528]
Nuclear structure	Nuclear pore complex, Nup88/rNup84 component	[KOG4460]
Intracellular trafficking, secretion, and vesicular transport	Nuclear pore complex, Nup88/rNup84 component	[KOG4460]
Translation, ribosomal structure and biogenesis	Mitochondrial 28S ribosomal protein S30	[KOG4461]
General function prediction only	Predicted RNA-binding protein SEB4 (RRM superfamily)	[KOG0149]
Function unknown	Uncharacterized conserved protein	[KOG4463]
Transcription	Transcriptional coactivator CAPER (RRM superfamily)	[KOG0147]
RNA processing and modification	RNA-binding protein ETR-3 (RRM superfamily)	[KOG0146]
RNA processing and modification	RNA-binding protein ELAV/HU (RRM superfamily)	[KOG0145]
RNA processing and modification	RNA-binding protein CUGBP1/BRUNO (RRM superfamily)	[KOG0144]
Transcription	Polycomb-group transcriptional regulator	[KOG4468]
Cytoskeleton	Microfibrillar-associated protein MFAP1	[KOG1425]
Amino acid transport and metabolism	Isovaleryl-CoA dehydrogenase	[KOG0141]
Lipid transport and metabolism	Isovaleryl-CoA dehydrogenase	[KOG0141]
Lipid transport and metabolism	Medium-chain acyl-CoA dehydrogenase	[KOG0140]
Lipid transport and metabolism	Predicted lipase	[KOG4569]
General function prediction only	Predicted GTP-binding protein MMR1	[KOG1424]
Cell cycle control, cell division, chromosome partitioning	Anaphase-promoting complex (APC), subunit 5	[KOG4322]
Posttranslational modification, protein turnover, chaperones	Anaphase-promoting complex (APC), subunit 5	[KOG4322]
Signal transduction mechanisms	C-type lectin	[KOG4297]
Defense mechanisms	C-type lectin	[KOG4297]
Cell cycle control, cell division, chromosome partitioning	Ras-like GTPase ERA	[KOG1423]
Signal transduction mechanisms	Ras-like GTPase ERA	[KOG1423]
Energy production and conversion	F0F1-type ATP synthase, beta subunit	[KOG1350]
Translation, ribosomal structure and biogenesis	60S acidic ribosomal protein P0	[KOG0815]
General function prediction only	Glyoxylase	[KOG0814]
Signal transduction mechanisms	Membrane trafficking and cell signaling protein HRS, contains VHS and FYVE domains	[KOG1818]
Intracellular trafficking, secretion, and vesicular transport	Membrane trafficking and cell signaling protein HRS, contains VHS and FYVE domains	[KOG1818]
General function prediction only	FYVE finger-containing proteins	[KOG1819]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein PEP12/VAM3/Syntaxin 7/Syntaxin 17	[KOG0811]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein Syntaxin 1 and related proteins	[KOG0810]
General function prediction only	Glyoxylase	[KOG0813]
Intracellular trafficking, secretion, and vesicular transport	SNARE protein SED5/Syntaxin 5	[KOG0812]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG1812]
Posttranslational modification, protein turnover, chaperones	Predicted E3 ubiquitin ligase	[KOG1813]
